Name;Latitude;Longitude;Population;Timezone
New York City;8175133;-7.400.597;8175133;America/New_York
Los Angeles;3.405.223;-11.824.368;3971883;America/Los_Angeles
Chicago;4.185.003;-8.765.005;2720546;America/Chicago
Houston;2.976.328;-9.536.327;2296224;America/Chicago
Phoenix;3.344.838;-11.207.404;1563025;America/Phoenix
Philadelphia;3.995.233;-7.516.379;1567442;America/New_York
San Antonio;2.942.412;-9.849.363;1469845;America/Chicago
San Diego;3.271.533;-11.715.726;1394928;America/Los_Angeles
Dallas;3.278.306;-9.680.667;1300092;America/Chicago
San Jose;3.733.939;-12.189.496;1026908;America/Los_Angeles
Austin;3.026.715;-9.774.306;931830;America/Chicago
Jacksonville;3.033.218;-8.165.565;868031;America/New_York
San Francisco;3.777.493;-12.241.942;864816;America/Los_Angeles
Columbus;3.996.118;-8.299.879;850106;America/New_York
Indianapolis;3.976.838;-8.615.804;829718;America/Indiana/Indianapolis
Fort Worth;3.272.541;-9.732.085;833319;America/Chicago
Charlotte;3.522.709;-8.084.313;827097;America/New_York
Seattle;4.760.621;-12.233.207;684451;America/Los_Angeles
Denver;3.973.915;-1.049.847;682545;America/Denver
El Paso;3.175.872;-10.648.693;681124;America/Denver
Washington, D.C.;3.889.511;-7.703.637;601723;America/New_York
Boston;4.235.843;-7.105.977;667137;America/New_York
Detroit;4.233.143;-8.304.575;677116;America/Detroit
Nashville;3.616.589;-8.678.444;530852;America/Chicago
Memphis;3.514.953;-9.004.898;655770;America/Chicago
Portland;4.552.345;-12.267.621;632309;America/Los_Angeles
Oklahoma City;3.546.756;-9.751.643;631346;America/Chicago
Las Vegas;3.617.497;-11.513.722;623747;America/Los_Angeles
Louisville;3.825.424;-8.575.941;243639;America/Kentucky/Louisville
Baltimore;3.929.038;-7.661.219;621849;America/New_York
Milwaukee;430.389;-8.790.647;600155;America/Chicago
Albuquerque;3.508.449;-10.665.114;559121;America/Denver
Tucson;3.222.174;-11.092.648;531641;America/Phoenix
Fresno;3.674.773;-11.977.237;520052;America/Los_Angeles
Sacramento;3.858.157;-1.214.944;490712;America/Los_Angeles
Mesa;3.342.227;-11.182.264;471825;America/Phoenix
Kansas City;3.911.417;-9.462.746;151306;America/Chicago
Atlanta;33.749;-8.438.798;463878;America/New_York
Long Beach;3.376.696;-11.818.923;474140;America/Los_Angeles
Colorado Springs;3.883.388;-10.482.136;456568;America/Denver
Raleigh;357.721;-7.863.861;451066;America/New_York
Miami;2.577.427;-8.019.366;441003;America/New_York
Virginia Beach;3.685.293;-7.597.799;452745;America/New_York
Omaha;4.125.626;-9.594.043;443885;America/Chicago
Oakland;3.780.437;-1.222.708;419267;America/Los_Angeles
Minneapolis;4.497.997;-9.326.384;410939;America/Chicago
Tulsa;3.615.398;-9.599.277;403505;America/Chicago
Arlington;3.273.569;-9.710.807;388125;America/Chicago
New Orleans;2.995.465;-9.007.507;389617;America/Chicago
Wichita;3.769.224;-9.733.754;389965;America/Chicago
Cleveland;414.995;-8.169.541;388072;America/New_York
Tampa;2.794.752;-8.245.843;369075;America/New_York
Bakersfield;3.537.329;-11.901.871;373640;America/Los_Angeles
Aurora;3.972.943;-10.483.192;359407;America/Denver
Honolulu;2.130.694;-15.785.833;371657;Pacific/Honolulu
Anaheim;3.383.529;-1.179.145;350742;America/Los_Angeles
Santa Ana;3.374.557;-11.786.783;335400;America/Los_Angeles
Corpus Christi;2.780.058;-9.739.638;324074;America/Chicago
Riverside;3.395.335;-11.739.616;322424;America/Los_Angeles
Lexington;3.798.869;-8.447.772;225366;America/New_York
St. Louis;3.862.727;-9.019.789;315685;America/Chicago
Stockton;379.577;-12.129.078;305658;America/Los_Angeles
Pittsburgh;4.044.062;-7.999.589;304391;America/New_York
Saint Paul;4.494.441;-9.309.327;285068;America/Chicago
Cincinnati;3.912.711;-8.451.439;296943;America/New_York
Anchorage;6.121.806;-14.990.028;298695;America/Anchorage
Henderson;360.397;-11.498.194;285667;America/Los_Angeles
Greensboro;3.607.264;-7.979.198;285342;America/New_York
Plano;3.301.984;-9.669.889;283558;America/Chicago
Newark;4.073.566;-7.417.237;281944;America/New_York
Lincoln;40.8;-9.666.696;277348;America/Chicago
